2025-11-07 17:59:42 | INFO | __main__:main:366 | Starting Windows AI Agent
2025-11-07 17:59:42 | INFO | src.automation.windows_automation:__init__:95 | Windows automation initialized (safe_mode: True)
2025-11-07 17:59:42 | INFO | src.automation.windows_automation:__init__:96 | Dependencies - PyAutoGUI: True, Win32: True, PSUtil: True
2025-11-07 17:59:42 | INFO | __main__:_initialize_components:82 | Windows automation initialized
2025-11-07 17:59:42 | INFO | src.core.intent_recognition:__init__:78 | Intent recognizer initialized with 7 intents
2025-11-07 17:59:42 | INFO | __main__:_initialize_components:86 | Intent recognizer initialized
2025-11-07 17:59:42 | INFO | src.utils.code_executor:__init__:50 | Safe execution environment initialized (timeout: 30s)
2025-11-07 17:59:42 | INFO | __main__:_initialize_components:91 | Code executor initialized
2025-11-07 17:59:42 | INFO | src.core.gemini_client:_initialize_model:86 | Initialized Gemini model: gemini-2.0-flash
2025-11-07 17:59:42 | INFO | windows_ai_agent:_initialize_gemini:109 | Gemini client initialized successfully
2025-11-07 17:59:42 | INFO | __main__:_initialize_components:99 | Integrated Windows Agent initialized successfully
2025-11-07 17:59:42 | INFO | __main__:main:377 | Integrated agent initialized
2025-11-07 17:59:42 | INFO | __main__:main:380 | Starting GUI application
2025-11-07 17:59:42 | INFO | src.core.gemini_client:_initialize_model:86 | Initialized Gemini model: gemini-2.0-flash
2025-11-07 17:59:42 | INFO | windows_ai_agent:_initialize_gemini:109 | Gemini client initialized successfully
2025-11-07 17:59:42 | INFO | src.ui.chat_window:__init__:206 | Chat window initialized
2025-11-07 17:59:59 | INFO | src.core.gemini_client:send_message:183 | Sent message to Gemini, got response: 54 chars
2025-11-07 18:00:21 | INFO | src.core.gemini_client:send_message:183 | Sent message to Gemini, got response: 54 chars
2025-11-07 18:00:35 | INFO | src.core.gemini_client:send_message:183 | Sent message to Gemini, got response: 54 chars
2025-11-07 18:02:17 | INFO | __main__:main:383 | Application exited with code 0
2025-11-07 18:02:55 | INFO | __main__:main:366 | Starting Windows AI Agent
2025-11-07 18:02:55 | INFO | src.automation.windows_automation:__init__:95 | Windows automation initialized (safe_mode: True)
2025-11-07 18:02:55 | INFO | src.automation.windows_automation:__init__:96 | Dependencies - PyAutoGUI: True, Win32: True, PSUtil: True
2025-11-07 18:02:55 | INFO | __main__:_initialize_components:82 | Windows automation initialized
2025-11-07 18:02:55 | INFO | src.core.intent_recognition:__init__:78 | Intent recognizer initialized with 7 intents
2025-11-07 18:02:55 | INFO | __main__:_initialize_components:86 | Intent recognizer initialized
2025-11-07 18:02:55 | INFO | src.utils.code_executor:__init__:50 | Safe execution environment initialized (timeout: 30s)
2025-11-07 18:02:55 | INFO | __main__:_initialize_components:91 | Code executor initialized
2025-11-07 18:02:55 | INFO | src.core.gemini_client:_initialize_model:86 | Initialized Gemini model: gemini-2.0-flash
2025-11-07 18:02:55 | INFO | windows_ai_agent:_initialize_gemini:109 | Gemini client initialized successfully
2025-11-07 18:02:55 | INFO | __main__:_initialize_components:99 | Integrated Windows Agent initialized successfully
2025-11-07 18:02:55 | INFO | __main__:main:377 | Integrated agent initialized
2025-11-07 18:02:55 | INFO | __main__:main:380 | Starting GUI application
2025-11-07 18:02:55 | ERROR | __main__:main:390 | Critical error: 'IntegratedWindowsAgent' object has no attribute 'is_configured'
2025-11-07 18:03:54 | INFO | __main__:main:376 | Starting Windows AI Agent
2025-11-07 18:03:54 | INFO | src.automation.windows_automation:__init__:95 | Windows automation initialized (safe_mode: True)
2025-11-07 18:03:54 | INFO | src.automation.windows_automation:__init__:96 | Dependencies - PyAutoGUI: True, Win32: True, PSUtil: True
2025-11-07 18:03:54 | INFO | __main__:_initialize_components:82 | Windows automation initialized
2025-11-07 18:03:54 | INFO | src.core.intent_recognition:__init__:78 | Intent recognizer initialized with 7 intents
2025-11-07 18:03:54 | INFO | __main__:_initialize_components:86 | Intent recognizer initialized
2025-11-07 18:03:54 | INFO | src.utils.code_executor:__init__:50 | Safe execution environment initialized (timeout: 30s)
2025-11-07 18:03:54 | INFO | __main__:_initialize_components:91 | Code executor initialized
2025-11-07 18:03:54 | INFO | src.core.gemini_client:_initialize_model:86 | Initialized Gemini model: gemini-2.0-flash
2025-11-07 18:03:54 | INFO | windows_ai_agent:_initialize_gemini:109 | Gemini client initialized successfully
2025-11-07 18:03:54 | INFO | __main__:_initialize_components:99 | Integrated Windows Agent initialized successfully
2025-11-07 18:03:54 | INFO | __main__:main:387 | Integrated agent initialized
2025-11-07 18:03:54 | INFO | __main__:main:390 | Starting GUI application
2025-11-07 18:03:55 | INFO | src.ui.chat_window:__init__:206 | Chat window initialized
2025-11-07 18:04:04 | INFO | src.automation.windows_automation:launch_application:464 | Launched application: msedge.exe
2025-11-07 18:04:04 | INFO | src.core.intent_recognition:execute_intent:150 | Executed intent: open_application
2025-11-07 18:05:13 | INFO | __main__:main:376 | Starting Windows AI Agent
2025-11-07 18:05:13 | INFO | src.automation.windows_automation:__init__:95 | Windows automation initialized (safe_mode: True)
2025-11-07 18:05:13 | INFO | src.automation.windows_automation:__init__:96 | Dependencies - PyAutoGUI: True, Win32: True, PSUtil: True
2025-11-07 18:05:13 | INFO | __main__:_initialize_components:82 | Windows automation initialized
2025-11-07 18:05:13 | INFO | src.core.intent_recognition:__init__:78 | Intent recognizer initialized with 7 intents
2025-11-07 18:05:13 | INFO | __main__:_initialize_components:86 | Intent recognizer initialized
2025-11-07 18:05:13 | INFO | src.utils.code_executor:__init__:50 | Safe execution environment initialized (timeout: 30s)
2025-11-07 18:05:13 | INFO | __main__:_initialize_components:91 | Code executor initialized
2025-11-07 18:05:13 | INFO | src.core.gemini_client:_initialize_model:86 | Initialized Gemini model: gemini-2.0-flash
2025-11-07 18:05:13 | INFO | windows_ai_agent:_initialize_gemini:109 | Gemini client initialized successfully
2025-11-07 18:05:13 | INFO | __main__:_initialize_components:99 | Integrated Windows Agent initialized successfully
2025-11-07 18:05:13 | INFO | __main__:main:387 | Integrated agent initialized
2025-11-07 18:05:13 | INFO | __main__:main:390 | Starting GUI application
2025-11-07 18:05:13 | INFO | src.ui.chat_window:__init__:206 | Chat window initialized
2025-11-07 18:05:26 | INFO | src.automation.windows_automation:launch_application:464 | Launched application: calc.exe
2025-11-07 18:05:26 | INFO | src.core.intent_recognition:execute_intent:150 | Executed intent: open_application
2025-11-07 18:05:51 | INFO | src.core.gemini_client:send_message:183 | Sent message to Gemini, got response: 431 chars
2025-11-07 18:06:25 | INFO | src.automation.windows_automation:launch_application:464 | Launched application: msedge.exe
2025-11-07 18:06:25 | INFO | src.core.intent_recognition:execute_intent:150 | Executed intent: open_application
2025-11-07 18:09:11 | INFO | windows_ai_agent:_initialize_gemini:109 | Gemini client initialized successfully
2025-11-07 18:09:43 | INFO | windows_ai_agent:_initialize_gemini:109 | Gemini client initialized successfully
2025-11-07 18:10:10 | INFO | __main__:main:393 | Application exited with code 0
2025-11-07 18:10:41 | INFO | __main__:main:376 | Starting Windows AI Agent
2025-11-07 18:10:41 | INFO | src.automation.windows_automation:__init__:95 | Windows automation initialized (safe_mode: True)
2025-11-07 18:10:41 | INFO | src.automation.windows_automation:__init__:96 | Dependencies - PyAutoGUI: True, Win32: True, PSUtil: True
2025-11-07 18:10:41 | INFO | __main__:_initialize_components:82 | Windows automation initialized
2025-11-07 18:10:41 | INFO | src.core.intent_recognition:__init__:78 | Intent recognizer initialized with 7 intents
2025-11-07 18:10:41 | INFO | __main__:_initialize_components:86 | Intent recognizer initialized
2025-11-07 18:10:41 | INFO | src.utils.code_executor:__init__:50 | Safe execution environment initialized (timeout: 30s)
2025-11-07 18:10:41 | INFO | __main__:_initialize_components:91 | Code executor initialized
2025-11-07 18:10:41 | INFO | src.core.gemini_client:_initialize_model:86 | Initialized Gemini model: gemini-2.0-flash
2025-11-07 18:10:41 | INFO | windows_ai_agent:_initialize_gemini:109 | Gemini client initialized successfully
2025-11-07 18:10:41 | INFO | __main__:_initialize_components:99 | Integrated Windows Agent initialized successfully
2025-11-07 18:10:41 | INFO | __main__:main:387 | Integrated agent initialized
2025-11-07 18:10:41 | INFO | __main__:main:390 | Starting GUI application
2025-11-07 18:10:42 | INFO | src.ui.chat_window:__init__:206 | Chat window initialized
2025-11-07 18:10:51 | INFO | src.core.intent_recognition:execute_intent:150 | Executed intent: create_file
2025-11-07 18:10:58 | INFO | src.core.gemini_client:send_message:183 | Sent message to Gemini, got response: 392 chars
2025-11-07 18:11:51 | INFO | src.core.intent_recognition:execute_intent:150 | Executed intent: create_file
2025-11-07 18:12:01 | INFO | src.core.gemini_client:send_message:183 | Sent message to Gemini, got response: 383 chars
2025-11-07 18:13:26 | INFO | __main__:main:393 | Application exited with code 0
2025-11-07 18:14:00 | INFO | windows_ai_agent:_initialize_gemini:109 | Gemini client initialized successfully
2025-11-07 18:14:46 | INFO | windows_ai_agent:_initialize_gemini:109 | Gemini client initialized successfully
2025-11-07 18:16:17 | INFO | __main__:main:380 | Starting Windows AI Agent
2025-11-07 18:16:17 | INFO | src.automation.windows_automation:__init__:95 | Windows automation initialized (safe_mode: True)
2025-11-07 18:16:17 | INFO | src.automation.windows_automation:__init__:96 | Dependencies - PyAutoGUI: True, Win32: True, PSUtil: True
2025-11-07 18:16:17 | INFO | __main__:_initialize_components:82 | Windows automation initialized
2025-11-07 18:16:17 | INFO | src.core.intent_recognition:__init__:78 | Intent recognizer initialized with 7 intents
2025-11-07 18:16:17 | INFO | __main__:_initialize_components:86 | Intent recognizer initialized
2025-11-07 18:16:17 | INFO | src.utils.code_executor:__init__:50 | Safe execution environment initialized (timeout: 30s)
2025-11-07 18:16:17 | INFO | __main__:_initialize_components:91 | Code executor initialized
2025-11-07 18:16:17 | INFO | src.core.gemini_client:_initialize_model:86 | Initialized Gemini model: gemini-2.0-flash
2025-11-07 18:16:17 | INFO | windows_ai_agent:_initialize_gemini:109 | Gemini client initialized successfully
2025-11-07 18:16:17 | INFO | __main__:_initialize_components:99 | Integrated Windows Agent initialized successfully
2025-11-07 18:16:17 | INFO | __main__:main:391 | Integrated agent initialized
2025-11-07 18:16:17 | INFO | __main__:main:394 | Starting GUI application
2025-11-07 18:16:18 | INFO | src.ui.chat_window:__init__:206 | Chat window initialized
2025-11-07 18:16:53 | INFO | src.core.intent_recognition:execute_intent:150 | Executed intent: create_file
2025-11-07 18:17:35 | INFO | src.core.intent_recognition:execute_intent:150 | Executed intent: create_file
2025-11-07 18:20:10 | INFO | windows_ai_agent:_initialize_gemini:109 | Gemini client initialized successfully
2025-11-07 18:21:03 | INFO | windows_ai_agent:_initialize_gemini:109 | Gemini client initialized successfully
2025-11-07 18:21:28 | INFO | windows_ai_agent:_initialize_gemini:109 | Gemini client initialized successfully
2025-11-07 18:28:48 | INFO | __main__:main:380 | Starting Windows AI Agent
2025-11-07 18:28:48 | INFO | src.automation.windows_automation:__init__:95 | Windows automation initialized (safe_mode: True)
2025-11-07 18:28:48 | INFO | src.automation.windows_automation:__init__:96 | Dependencies - PyAutoGUI: True, Win32: True, PSUtil: True
2025-11-07 18:28:48 | INFO | __main__:_initialize_components:82 | Windows automation initialized
2025-11-07 18:28:48 | INFO | src.core.intent_recognition:__init__:78 | Intent recognizer initialized with 7 intents
2025-11-07 18:28:48 | INFO | __main__:_initialize_components:86 | Intent recognizer initialized
2025-11-07 18:28:48 | INFO | src.utils.code_executor:__init__:50 | Safe execution environment initialized (timeout: 30s)
2025-11-07 18:28:48 | INFO | __main__:_initialize_components:91 | Code executor initialized
2025-11-07 18:28:48 | INFO | src.core.gemini_client:_initialize_model:86 | Initialized Gemini model: gemini-2.0-flash
2025-11-07 18:28:48 | INFO | windows_ai_agent:_initialize_gemini:109 | Gemini client initialized successfully
2025-11-07 18:28:48 | INFO | __main__:_initialize_components:99 | Integrated Windows Agent initialized successfully
2025-11-07 18:28:48 | INFO | __main__:main:391 | Integrated agent initialized
2025-11-07 18:28:48 | INFO | __main__:main:394 | Starting GUI application
2025-11-07 18:28:49 | INFO | src.ui.chat_window:__init__:206 | Chat window initialized
2025-11-07 18:29:13 | INFO | __main__:main:397 | Application exited with code 0
2025-11-07 18:31:29 | INFO | __main__:main:380 | Starting Windows AI Agent
2025-11-07 18:31:29 | INFO | src.automation.windows_automation:__init__:95 | Windows automation initialized (safe_mode: True)
2025-11-07 18:31:29 | INFO | src.automation.windows_automation:__init__:96 | Dependencies - PyAutoGUI: True, Win32: True, PSUtil: True
2025-11-07 18:31:29 | INFO | __main__:_initialize_components:82 | Windows automation initialized
2025-11-07 18:31:29 | INFO | src.core.intent_recognition:__init__:78 | Intent recognizer initialized with 7 intents
2025-11-07 18:31:29 | INFO | __main__:_initialize_components:86 | Intent recognizer initialized
2025-11-07 18:31:29 | INFO | src.utils.code_executor:__init__:50 | Safe execution environment initialized (timeout: 30s)
2025-11-07 18:31:29 | INFO | __main__:_initialize_components:91 | Code executor initialized
2025-11-07 18:31:29 | INFO | src.core.gemini_client:_initialize_model:86 | Initialized Gemini model: gemini-2.0-flash
2025-11-07 18:31:29 | INFO | windows_ai_agent:_initialize_gemini:109 | Gemini client initialized successfully
2025-11-07 18:31:29 | INFO | __main__:_initialize_components:99 | Integrated Windows Agent initialized successfully
2025-11-07 18:31:29 | INFO | __main__:main:391 | Integrated agent initialized
2025-11-07 18:31:29 | INFO | __main__:main:394 | Starting GUI application
2025-11-07 18:31:30 | INFO | src.ui.chat_window:__init__:206 | Chat window initialized
2025-11-07 18:32:06 | INFO | src.core.intent_recognition:execute_intent:154 | Executed intent: create_file
2025-11-07 18:32:34 | INFO | src.core.intent_recognition:execute_intent:154 | Executed intent: create_file
2025-11-07 18:34:17 | INFO | src.core.gemini_client:send_message:183 | Sent message to Gemini, got response: 1483 chars
2025-11-07 18:37:12 | INFO | __main__:main:428 | Starting Windows AI Agent
2025-11-07 18:37:12 | INFO | src.automation.windows_automation:__init__:95 | Windows automation initialized (safe_mode: True)
2025-11-07 18:37:12 | INFO | src.automation.windows_automation:__init__:96 | Dependencies - PyAutoGUI: True, Win32: True, PSUtil: True
2025-11-07 18:37:12 | INFO | __main__:_initialize_components:82 | Windows automation initialized
2025-11-07 18:37:12 | INFO | src.core.intent_recognition:__init__:78 | Intent recognizer initialized with 7 intents
2025-11-07 18:37:12 | INFO | __main__:_initialize_components:86 | Intent recognizer initialized
2025-11-07 18:37:12 | INFO | src.utils.code_executor:__init__:50 | Safe execution environment initialized (timeout: 30s)
2025-11-07 18:37:12 | INFO | __main__:_initialize_components:91 | Code executor initialized
2025-11-07 18:37:12 | INFO | src.core.gemini_client:_initialize_model:86 | Initialized Gemini model: gemini-2.0-flash
2025-11-07 18:37:12 | INFO | windows_ai_agent:_initialize_gemini:109 | Gemini client initialized successfully
2025-11-07 18:37:12 | INFO | __main__:_initialize_components:99 | Integrated Windows Agent initialized successfully
2025-11-07 18:37:12 | INFO | __main__:main:439 | Integrated agent initialized
2025-11-07 18:37:12 | INFO | __main__:main:442 | Starting GUI application
2025-11-07 18:37:13 | INFO | src.ui.chat_window:__init__:206 | Chat window initialized
2025-11-07 18:38:57 | INFO | src.core.intent_recognition:execute_intent:154 | Executed intent: create_file
2025-11-07 18:39:22 | INFO | src.core.gemini_client:send_message:183 | Sent message to Gemini, got response: 201 chars
2025-11-07 18:39:25 | INFO | src.core.gemini_client:send_message:183 | Sent message to Gemini, got response: 718 chars
2025-11-07 18:42:13 | INFO | __main__:main:445 | Application exited with code 0
2025-11-07 18:42:27 | INFO | __main__:main:519 | Starting Windows AI Agent
2025-11-07 18:42:27 | INFO | __main__:_initialize_components:84 | Memory manager initialized
2025-11-07 18:42:27 | INFO | src.automation.windows_automation:__init__:95 | Windows automation initialized (safe_mode: True)
2025-11-07 18:42:27 | INFO | src.automation.windows_automation:__init__:96 | Dependencies - PyAutoGUI: True, Win32: True, PSUtil: True
2025-11-07 18:42:27 | INFO | __main__:_initialize_components:88 | Windows automation initialized
2025-11-07 18:42:27 | INFO | src.core.intent_recognition:__init__:78 | Intent recognizer initialized with 7 intents
2025-11-07 18:42:27 | INFO | __main__:_initialize_components:92 | Intent recognizer initialized
